,IND_PROD,EXPORT_D11,IMPORT_D11,EMPLOYED_D11,CONSTRUCTION_D11,CARGO_D11,RETAIL_D11,BUSINESS_CONF,REAL_DISPOSABLE_INCOME_SA,RETAIL_FOOD_D11,RETAIL_NONFOOD_D11,TOTAL_REVENUE_SE_D11,unemp_rate,EXPORT_SNG_D11,agriculture,HOUSING_D11,real_investment,IMPORT_SNG_D11,inflation,d_reer,d_poil,d_pgas,firms_exp,infl_exp
2008M04,4.677930937,5.806223216,6.163272362,4.084494031,5.264713092,4.293871137,4.824916419,4.036335919,4.8593965,4.651291702,4.95890907,4.434403626,5.509416009,5.874300184,5.441308568,5.208903561,5.693773619,5.605550226,1.047483426,-0.412494584,5.239289849,8.182784272,30.41,
2008M05,4.680676188,5.828631707,6.141149428,4.085110873,5.280559547,4.283004478,4.835442689,4.035366021,4.8463914,4.691767476,4.955726939,4.430675454,5.788960881,5.940156394,5.442085404,5.222798396,5.69607478,5.59109608,1.365303481,-0.591162217,12.58824608,10.70726916,30.63,
2008M06,4.668269672,5.876703839,6.141853441,4.083557432,5.257303744,4.282603967,4.842892035,4.03314584,4.8527575,4.692304884,4.966886696,4.433749193,5.917928898,5.935549287,5.447398403,5.211581231,5.677492639,5.648130188,1.398173349,-0.099794966,7.752442997,12.59982254,28.96,
2008M07,4.672006347,5.901690459,6.218091299,4.080385026,5.248815642,4.266521673,4.856141876,4.028794401,4.8786805,4.705930096,4.981365275,4.453811782,6.233699109,5.916875735,5.450949265,5.397935947,5.669718117,5.72984601,1.298726681,0.012231764,0.302297461,-12.60835303,26.74,
2008M08,4.669853759,5.854265899,6.138951257,4.078615667,5.202400576,4.25285131,4.865915892,4.023491459,4.9434869,4.718026759,4.9882381,4.437461612,6.488320042,5.837472235,5.536334634,5.223416321,5.663255714,5.638334734,1.026429744,0.242982999,-14.67751658,-25.51848512,24.15,
2008M09,4.670090697,5.836461043,6.155458684,4.074698341,5.219311941,4.247748641,4.875179645,4.009376905,4.8579899,4.723340322,5.002611398,4.44647731,6.681435002,5.771009021,5.502702922,5.262099522,5.663594446,5.669818857,0.977549282,-1.159047349,-14.13811374,-7.142857143,23.10,
2008M10,4.646893246,5.70682185,6.089947944,4.074089417,5.211788862,4.248589686,4.86526791,3.988965037,4.842056,4.717920051,4.989345327,4.448562314,6.847316583,5.775370021,5.482134721,5.275568677,5.655545418,5.426554534,1.050317866,0.99363119,-26.38074668,-12.12516297,20.56,
2008M11,4.520182255,5.495075141,5.878859473,4.072045849,5.205854074,4.166902764,4.846685635,3.966796793,4.8503089,4.705869516,4.966303972,4.422226826,7.412592519,5.443053658,5.481121807,5.234829985,5.630763043,5.072063609,1.056170914,0.288016819,-26.72534227,-0.890207715,17.92,
2008M12,4.501625787,5.36729708,5.877772475,4.065442417,5.171409501,4.151710448,4.83159962,3.953769809,4.7728823,4.693652301,4.947355189,4.413203866,7.830706822,5.311950795,5.470492245,5.296948476,5.541919448,5.111200228,0.952214598,-4.27155156,-23.83222116,-12.8742515,18.08,
2009M01,4.499151076,5.126824192,5.546840741,4.063062315,5.155216559,4.087964175,4.823431838,3.950583511,4.7936562,4.688258602,4.938941243,4.410072998,8.343925002,5.101986905,5.464196781,5.226427974,5.525824743,4.816077142,0.715624416,-10.90403971,8.7359199,-9.965635739,18.25,
2009M02,4.508548332,5.099754656,5.636137446,4.055163594,5.108158555,4.103883228,4.804917234,3.953439409,4.855515,4.669726539,4.913227511,4.400865212,8.378041675,5.191737478,5.462565962,5.25557327,5.519820173,4.893473258,1.336801055,-8.434641388,-0.276243094,-13.74045802,18.44,
2009M03,4.509661515,5.140068509,5.564189095,4.056401061,5.104141968,4.110733929,4.793376938,3.957854466,4.8716939,4.672148234,4.892636527,4.391024455,8.446478878,5.232399452,5.462756821,5.276203979,5.495579792,4.85590582,1.285489939,2.533715568,7.433056325,-12.38938053,16.89,
2009M04,4.520195973,5.148968244,5.564410943,4.056248897,5.111747086,4.088140111,4.780835544,3.962780216,4.873019,4.671492171,4.861926278,4.381824918,8.720984883,5.308036722,5.464199365,5.287800953,5.478438003,4.892697755,1.218951176,1.037592916,7.82122905,-11.61616162,14.65,
