Date,NER,ND,match
03.02.2005,0.000240003,-0.0000937,1677
04.02.2005,0.000243001,-0.0000532,1678
07.02.2005,0.0000547,0.000110076,1681
08.02.2005,-0.000249678,0.000076,1682
09.02.2005,0.0000974,0.0000606,1683
10.02.2005,0.000249247,-0.0000238,1684
11.02.2005,-0.0000418,-0.000117432,1685
14.02.2005,-0.000159371,0.0000609,1688
15.02.2005,-0.000225486,-0.0000787,1689
16.02.2005,-0.000180389,-0.000259043,1690
17.02.2005,0.0000175,-0.0000673,1691
18.02.2005,-0.00000158,-0.00019277,1692
21.02.2005,0.0000322,-0.000154642,1695
22.02.2005,0.000111461,0.00028382,1696
24.02.2005,-0.000199755,-0.0000285,1698
25.02.2005,-0.0000349,-0.000112281,1699
28.02.2005,0.000377871,-0.000211931,1702
